,FIPS,Name,Type,TimeFrame,Data (M),Population,Region_x,Region_y
902,EH,Western Sahara,Country,2019.0,0.597,597000.0,NORTHERN AFRICA,NORTHERN AFRICA
1126,CI,Cote d'Ivoire,Country,2019.0,26.175,26175000.0,WESTERN AFRICA,WESTERN AFRICA
4130,YT,Mayotte,Country,2019.0,0.284,284000.0,EASTERN AFRICA,EASTERN AFRICA
4189,RE,Reunion,Country,2019.0,0.861,861000.0,EASTERN AFRICA,EASTERN AFRICA
6081,CD,"Congo, Dem. Rep.",Country,2019.0,89.568,89568000.0,MIDDLE AFRICA,MIDDLE AFRICA
6297,SZ,eSwatini,Country,2019.0,1.104,1104000.0,SOUTHERN AFRICA,SOUTHERN AFRICA
8970,SV,El Salvador,Country,2019.0,6.481,6481000.0,CENTRAL AMERICA,CENTRAL AMERICA
9054,HN,Honduras,Country,2019.0,9.864,9864000.0,CENTRAL AMERICA,CENTRAL AMERICA
10584,CW,Curacao,Country,2019.0,0.155,155000.0,CARIBBEAN,CARIBBEAN
11024,PR,Puerto Rico,Country,2019.0,3.189,3189000.0,CARIBBEAN,CARIBBEAN
11025,KN,St. Kitts-Nevis,Country,2019.0,0.054,54000.0,CARIBBEAN,CARIBBEAN
11026,LC,Saint Lucia,Country,2019.0,0.182,182000.0,CARIBBEAN,CARIBBEAN
11027,VC,St. Vincent and the Grenadines,Country,2019.0,0.111,111000.0,CARIBBEAN,CARIBBEAN
14613,GE,Georgia,Country,2019.0,3.715,3715000.0,WESTERN ASIA,WESTERN ASIA
15678,OM,Oman,Country,2019.0,4.713,4713000.0,WESTERN ASIA,WESTERN ASIA
21356,BN,Brunei,Country,2019.0,0.469,469000.0,SOUTHEAST ASIA,SOUTHEAST ASIA
23204,TL,Timor-Leste,Country,2019.0,1.318,1318000.0,SOUTHEAST ASIA,SOUTHEAST ASIA
24525,HK,"China, Hong Kong SAR",Country,2019.0,7.494,7494000.0,EAST ASIA,EAST ASIA
24526,MO,"China, Macao SAR",Country,2019.0,0.686,686000.0,EAST ASIA,EAST ASIA
34524,CZ,Czechia,Country,2019.0,10.716,10716000.0,EASTERN EUROPE,EASTERN EUROPE
40180,MK,North Macedonia,Country,2019.0,2.08,2080000.0,SOUTHERN EUROPE,SOUTHERN EUROPE
43526,PF,French Polynesia,Country,2019.0,0.28,280000.0,OCEANIA,OCEANIA
43527,GU,Guam,Country,2019.0,0.175,175000.0,OCEANIA,OCEANIA
43647,NC,New Caledonia,Country,2019.0,0.295,295000.0,OCEANIA,OCEANIA
44432,PW,Palau,Country,2019.0,0.018,18000.0,OCEANIA,OCEANIA
44593,WS,Samoa,Country,2019.0,0.2,200000.0,OCEANIA,OCEANIA
